Vendor Code,lat,lon
V1002872,1.357107,103.8194992
V1002911,1.357107,103.8194992
V1002914,1.357107,103.8194992
V1002927,1.357107,103.8194992
V1002974,1.357107,103.8194992
V1002978,1.357107,103.8194992
V1002984,1.357107,103.8194992
V1002987,1.357107,103.8194992
V1002992,1.357107,103.8194992
V1003045,1.357107,103.8194992
V1003075,1.357107,103.8194992
V1003077,1.357107,103.8194992
V1003079,1.357107,103.8194992
V1003084,1.357107,103.8194992
V1003098,1.357107,103.8194992
V1003114,1.357107,103.8194992
V1003139,1.357107,103.8194992
V1003141,1.357107,103.8194992
V1003150,1.357107,103.8194992
V1003168,1.357107,103.8194992
V1003205,1.357107,103.8194992
V1003222,1.357107,103.8194992
V1003223,1.357107,103.8194992
V1003271,1.357107,103.8194992
V1003276,1.357107,103.8194992
V1003288,1.357107,103.8194992
V1003315,1.357107,103.8194992
V1003330,1.357107,103.8194992
V1003339,1.357107,103.8194992
V1003343,1.357107,103.8194992
V1003356,1.357107,103.8194992
V1003360,1.357107,103.8194992
V1003396,1.357107,103.8194992
V1003410,1.357107,103.8194992
V1003420,1.3181877,103.9072457
V1003480,1.357107,103.8194992
V1003485,1.357107,103.8194992
V1003528,1.357107,103.8194992
V1003536,1.357107,103.8194992
V1003544,1.357107,103.8194992
V1003555,1.357107,103.8194992
V1003597,1.357107,103.8194992
V1003633,1.357107,103.8194992
V1003659,1.357107,103.8194992
V1003660,1.357107,103.8194992
V1003671,1.357107,103.8194992
V1003677,1.357107,103.8194992
V1003716,1.357107,103.8194992
V1003724,1.357107,103.8194992
V1003734,1.357107,103.8194992
V1003780,1.357107,103.8194992
V1003786,1.357107,103.8194992
V1003792,1.357107,103.8194992
V1003796,1.357107,103.8194992
V1003798,1.357107,103.8194992
V1003849,1.357107,103.8194992
V1003922,1.357107,103.8194992
V1003951,1.357107,103.8194992
V1003959,1.357107,103.8194992
V1003963,1.357107,103.8194992
V1003975,1.357107,103.8194992
V1003976,1.357107,103.8194992
V1003979,1.357107,103.8194992
V1004051,1.357107,103.8194992
V1004059,1.357107,103.8194992
V1004066,1.357107,103.8194992
V1004074,1.357107,103.8194992
V1004110,1.357107,103.8194992
V1004160,1.357107,103.8194992
V1004170,1.357107,103.8194992
V1004180,1.357107,103.8194992
V1004195,1.357107,103.8194992
V1004212,1.357107,103.8194992
V1004216,1.357107,103.8194992
V1004245,1.357107,103.8194992
V1004278,1.357107,103.8194992
V1004285,1.357107,103.8194992
V1004287,1.3186639,103.6893015
V1004302,1.357107,103.8194992
V1004331,1.357107,103.8194992
V1004361,1.357107,103.8194992
V1004365,1.357107,103.8194992
V1004385,1.357107,103.8194992
V1004419,1.357107,103.8194992
V1004458,1.357107,103.8194992
V1004520,1.357107,103.8194992
V1004543,1.357107,103.8194992
V1004728,1.357107,103.8194992
V1004751,1.357107,103.8194992
V1004752,1.357107,103.8194992
V1004758,1.357107,103.8194992
V1004776,1.357107,103.8194992
V1004789,1.357107,103.8194992
V1004821,1.357107,103.8194992
V1004866,1.357107,103.8194992
V1004877,1.357107,103.8194992
V1004885,1.357107,103.8194992
V1004993,1.357107,103.8194992
V1005058,1.357107,103.8194992
V1005065,1.357107,103.8194992
V1005096,1.2962018,103.7768977
V1005107,1.357107,103.8194992
V1005137,1.357107,103.8194992
V1005163,1.357107,103.8194992
V1005219,1.357107,103.8194992
V1005225,1.357107,103.8194992
V1005246,1.357107,103.8194992
V1005268,1.357107,103.8194992
V1005272,1.357107,103.8194992
V1005285,1.357107,103.8194992
V1005288,1.357107,103.8194992
V1005312,1.357107,103.8194992
V1005329,1.357107,103.8194992
V1005340,1.357107,103.8194992
V1005346,1.357107,103.8194992
V1005361,1.357107,103.8194992
V1005390,1.357107,103.8194992
V1005401,1.357107,103.8194992
V1005559,1.357107,103.8194992
V1005592,1.357107,103.8194992
V1005676,1.357107,103.8194992
V1005705,1.357107,103.8194992
V1005721,1.357107,103.8194992
V1005745,1.357107,103.8194992
V1005823,1.357107,103.8194992
V1005883,1.357107,103.8194992
V1005979,1.357107,103.8194992
V1005981,1.357107,103.8194992
V1005998,1.357107,103.8194992
V1006044,1.357107,103.8194992
V1006082,1.357107,103.8194992
V1006094,1.357107,103.8194992
V1006100,1.357107,103.8194992
V1006471,1.357107,103.8194992
V1006521,1.357107,103.8194992
V1006868,1.357107,103.8194992
V1007734,1.357107,103.8194992
V1007792,1.357107,103.8194992
V1007825,1.357107,103.8194992
V1007854,1.357107,103.8194992
V1007950,1.357107,103.8194992
V1008046,1.357107,103.8194992
V1008096,1.357107,103.8194992
V1008107,1.357107,103.8194992
V1008165,1.357107,103.8194992
V1008232,1.357107,103.8194992
V1008306,1.357107,103.8194992
V1008402,1.357107,103.8194992
V1008541,1.357107,103.8194992
V1008655,1.357107,103.8194992
V1008944,1.3426562,103.8385145
V1009005,1.357107,103.8194992
V1009011,1.357107,103.8194992
V1009083,1.357107,103.8194992
V1009180,1.3042067,103.8315206
V1009224,1.357107,103.8194992
V1009252,1.357107,103.8194992
V1009314,1.357107,103.8194992
V1009374,1.357107,103.8194992
V1009378,1.357107,103.8194992
V1009427,1.357107,103.8194992
V1009450,1.357107,103.8194992
V1009520,1.357107,103.8194992
V1009537,1.357107,103.8194992
V1009542,1.357107,103.8194992
V1009705,1.357107,103.8194992
V1009722,1.357107,103.8194992
V1009730,1.357107,103.8194992
V1009771,1.357107,103.8194992
V1009775,1.357107,103.8194992
V1009797,1.357107,103.8194992
V1009805,1.357107,103.8194992
V1009841,1.357107,103.8194992
V1009940,1.357107,103.8194992
V1009955,1.357107,103.8194992
V1010057,1.357107,103.8194992
V1010147,1.357107,103.8194992
V1010162,1.357107,103.8194992
V1010202,1.357107,103.8194992
V1010207,1.357107,103.8194992
V1010262,1.357107,103.8194992
V1010264,1.357107,103.8194992
V1010266,1.3834357,103.7215213
V1010268,1.357107,103.8194992
V1010302,1.357107,103.8194992
V1010303,1.357107,103.8194992
V1010345,1.357107,103.8194992
